ax,ay,az,gx,gy,gz
Samples stored: 73
9.8186,-3.2058,3.1651,0.2419,-0.0067,-0.4477
9.5505,-2.4612,2.2865,0.3858,-0.2289,-0.3232
9.9216,-1.9585,2.3128,0.2398,-0.1212,-0.3837
10.1035,-1.0271,2.4852,0.6470,-0.1354,-0.3211
10.6279,-0.6297,2.5019,0.6062,-0.2361,-0.2963
8.7532,-1.3623,3.2226,0.6147,-0.2840,-0.1172
11.6813,-0.8475,2.1261,0.3203,-0.5111,-0.1407
9.4523,1.2186,1.7693,-0.5063,0.4074,0.1863
10.8960,4.1946,-1.8962,-3.5074,-0.5188,0.5159
13.0532,-4.2114,-0.2227,-3.1584,-0.6941,0.4287
10.9032,-5.2146,-0.3711,-1.3025,0.0176,0.1239
12.7012,-4.1468,-3.2825,-0.3818,-0.0024,-0.9944
12.5025,-2.4253,-4.2928,-0.2164,0.2675,-0.8175
9.3781,-0.1963,-2.6671,-0.1204,0.9603,-0.8825
7.7572,0.9744,-1.2689,-0.8236,0.2902,-0.5825
7.1515,1.0870,0.5555,-0.0823,0.2822,0.0722
7.5729,2.8060,1.3958,0.5670,0.3291,0.2681
11.1067,4.7716,3.8499,0.5423,0.2462,-0.2305
10.0772,1.8962,5.2816,-0.1793,0.1095,0.2145
8.9256,-2.0662,1.6233,-1.4416,-0.4602,0.4226
9.6391,-3.0071,0.5602,-1.1111,-0.3038,0.0746
8.3558,-1.5897,2.3511,-0.4509,0.2172,-0.2222
12.3206,2.0782,2.1787,-1.2167,0.1836,-0.1108
9.0668,0.6871,1.6616,-0.9777,0.3728,-0.2172
9.2368,1.1756,1.7717,-0.7586,0.3424,-0.1532
7.7668,1.8172,1.5155,-0.9590,-0.3954,-0.0253
9.5337,0.9697,2.7677,-1.5204,0.8244,-0.6387
10.1706,2.2984,5.0398,-1.6233,0.9276,-0.8641
-1.5802,2.5546,1.1037,0.0333,-0.4138,-2.5948
16.0124,6.2106,0.5555,0.6600,-0.3107,1.5772
-0.2155,-2.3583,0.3974,-2.1775,2.2993,-0.4458
9.8090,-4.4053,4.3766,-1.3731,-0.2105,-0.1727
17.1401,-0.5171,1.8627,-0.9486,-2.2620,0.6270
19.8479,-3.1675,-8.4874,-0.3861,-0.9918,1.1503
-2.9329,4.3455,-3.5865,0.0277,-0.9691,-0.6707
18.8352,-13.3668,0.1030,-0.7679,0.2907,2.8362
17.0802,-23.5446,3.6847,2.8996,0.7544,1.6486
4.0630,-5.6623,4.2521,4.2594,0.7581,-1.4602
9.3134,-0.2538,4.6471,1.7661,1.7075,0.1037
-5.7868,0.1820,12.4834,2.3089,4.5123,-2.6921
-1.3910,6.2393,8.4994,4.1904,0.8868,-0.7997
3.1292,11.9327,6.0142,3.6463,0.6616,-0.3565
0.2538,13.1513,2.1524,1.4045,-0.1522,0.5215
1.2426,11.0205,3.3543,-0.0711,0.4327,1.0685
-1.6640,17.7602,4.5203,-0.7237,-1.0520,1.9979
5.3032,8.0373,1.4629,-1.1402,-0.2702,3.7177
7.3765,3.3255,6.5338,-1.7187,0.2180,1.7965
7.4627,2.8371,8.2983,-0.5129,-1.2774,1.0512
7.1299,0.7278,3.8116,0.1402,-1.2950,1.8357
8.8155,-0.3017,2.8850,-0.0837,-0.5526,1.7877
5.9161,-0.0646,4.8937,-1.0680,-0.2734,1.2217
5.0637,-3.5817,3.0335,-0.8218,-1.1386,1.8850
5.5905,-10.5560,2.1332,-0.9891,-1.3856,2.5815
7.2616,-13.9103,-5.8706,0.0000,-1.2095,1.4839
6.6583,-12.7826,-5.6910,-0.1676,-0.3701,0.3483
3.4788,-10.7428,-2.0758,0.1887,-0.4935,-0.4517
3.9456,-6.2848,0.1077,-0.1159,-0.2747,-1.4008
4.0965,-3.3375,1.6903,-1.1764,-0.2462,-0.4567
6.2201,-8.0565,-0.2514,0.2038,-0.7504,-0.2292
7.6112,-8.2815,-4.0510,0.1311,-0.9126,0.0517
3.2896,-7.6567,-6.1890,0.1799,-0.0655,0.1087
2.5953,-5.7940,-8.3151,0.5492,-0.1980,0.1103
4.2138,-5.3798,-6.3614,0.5431,0.6710,0.1516
4.8315,-5.9280,-3.7828,0.4509,1.0323,0.1809
5.8802,-6.1387,-3.0622,0.7216,0.7509,0.2673
6.4117,-7.8650,-1.9441,0.7320,0.5156,0.0597
4.9033,-6.0071,0.8284,1.0195,-0.6251,-0.4333
6.2632,-5.2672,2.9377,0.0722,0.0514,-0.1396
