MPU6050 Found!
-0.22,-0.02
4.74,-8.65,0.02,0.13,0.00,0.01
4.71,-8.69,-0.00,0.14,0.00,0.00
4.73,-8.68,0.00,0.14,0.00,0.01
4.79,-8.64,-0.01,0.13,-0.00,0.01
4.76,-8.68,0.01,0.14,0.00,0.01
4.76,-8.67,0.00,0.13,-0.00,0.01
4.76,-8.69,-0.01,0.13,-0.00,0.01
4.76,-8.65,0.01,0.14,-0.00,0.01
4.77,-8.66,-0.03,0.13,-0.00,0.01
4.77,-8.67,0.00,0.13,-0.00,0.00
4.77,-8.68,-0.02,0.13,-0.00,0.01
4.76,-8.70,-0.01,0.13,-0.00,0.01
4.76,-8.68,-0.01,0.13,-0.00,0.01
4.80,-8.66,-0.03,0.13,-0.00,0.01
4.78,-8.66,-0.01,0.14,-0.00,0.01
4.77,-8.66,0.00,0.14,0.00,0.00
4.77,-8.70,0.05,0.14,0.00,0.00
4.90,-8.59,0.06,0.14,0.01,-0.01
4.69,-8.70,-0.10,0.14,-0.00,0.01
4.85,-8.65,-0.03,0.13,-0.00,0.01
4.79,-8.67,-0.04,0.13,-0.00,0.01
4.78,-8.65,-0.02,0.14,-0.00,0.01
4.78,-8.63,-0.03,0.14,-0.00,0.01
4.74,-8.63,-0.05,0.14,-0.00,0.01
4.74,-8.70,0.03,0.13,-0.00,0.02
4.78,-8.67,0.03,0.14,-0.00,0.01
4.72,-8.60,-0.03,0.14,0.00,-0.00
4.77,-8.71,-0.06,0.14,-0.00,0.01
4.77,-8.66,-0.03,0.13,0.00,0.00
4.79,-8.57,0.07,0.13,-0.01,0.01
4.74,-8.63,0.02,0.14,-0.00,0.01
4.84,-8.61,0.07,0.14,0.00,-0.00
4.74,-8.71,-0.09,0.15,0.01,-0.01
4.71,-8.70,-0.12,0.13,0.00,0.01
4.72,-8.71,-0.06,0.13,-0.00,-0.00
4.77,-8.66,0.03,0.13,0.00,0.00
4.74,-8.67,-0.02,0.13,0.00,0.01
4.78,-8.67,-0.03,0.13,0.00,0.01
4.79,-8.67,-0.02,0.13,0.00,0.00
4.79,-8.65,0.00,0.13,-0.00,0.00
4.80,-8.65,-0.02,0.14,0.00,0.00
4.78,-8.66,-0.04,0.13,0.00,-0.00
4.75,-8.68,-0.01,0.13,-0.00,0.00
4.74,-8.66,0.00,0.13,-0.00,0.01
4.79,-8.68,-0.01,0.14,-0.00,0.01
4.74,-8.69,-0.05,0.13,0.00,0.00
4.74,-8.66,0.05,0.13,-0.00,0.00
4.80,-8.63,0.00,0.14,-0.00,0.00
4.75,-8.69,-0.06,0.14,-0.00,0.01
4.78,-8.66,-0.05,0.14,-0.00,0.01
4.79,-8.66,0.01,0.12,-0.01,0.01
4.75,-8.66,0.02,0.14,0.00,0.00
4.80,-8.66,-0.01,0.14,0.00,0.00
4.79,-8.66,-0.02,0.14,0.00,0.01
4.77,-8.70,0.01,0.13,-0.00,0.01
4.72,-8.71,0.00,0.14,-0.00,0.01
4.71,-8.67,0.02,0.13,0.00,0.01
4.71,-8.68,-0.01,0.13,-0.00,0.01
4.75,-8.66,0.04,0.13,-0.00,0.01
4.77,-8.66,-0.00,0.13,-0.00,0.01
4.77,-8.73,-0.06,0.13,-0.00,0.00
4.76,-8.69,-0.03,0.13,-0.00,0.01
4.77,-8.66,-0.02,0.13,-0.00,0.01
4.76,-8.68,-0.04,0.13,-0.00,0.01
